Date,Adj_Close,Close,High,Low,Open,Volume,OHLC_flag,Daily_Return,Price_Range,Open_Close_Diff,Volume_Change
11/8/1996,8.100290298,18.17099953,18.20999908,18.17099953,18.20999908,767000,0,0,0.03899955,-0.03899955,0
11/11/1996,8.078445435,18.12199974,18.20000076,18.08200073,18.19000053,260000,0,-0.002696593,0.11800003,-0.06800079,-0.661016949
11/12/1996,8.139519691,18.25900078,18.32799911,18.09199905,18.1609993,1066000,0,0.007559929,0.23600006,0.09800148,3.1
11/13/1996,8.126591682,18.22999954,18.34399986,18.19000053,18.34399986,793000,0,-0.001588326,0.15399933,-0.11400032,-0.256097561
11/14/1996,8.152893066,18.28899956,18.28899956,18.13199997,18.20499992,351000,0,0.003236425,0.15699959,0.08399964,-0.557377049
11/15/1996,8.219314575,18.43799973,18.44000053,18.2689991,18.30800056,624000,0,0.008146983,0.17100143,0.12999917,0.777777778
11/18/1996,8.231796265,18.4659996,18.58399963,18.36599922,18.37299919,624000,0,0.001518596,0.21800041,0.09300041,0
11/19/1996,8.26656723,18.54400063,18.54400063,18.31399918,18.48500061,442000,0,0.004224035,0.23000145,0.05900002,-0.291666667
11/20/1996,8.13595295,18.25099945,18.60300064,18.24300003,18.48500061,546000,0,-0.015800322,0.36000061,-0.23400116,0.235294118
11/21/1996,8.143977165,18.2689991,18.30800056,18.19400024,18.30800056,286000,0,0.000986228,0.11400032,-0.03900146,-0.476190476
11/22/1996,8.208169937,18.41300011,18.41300011,18.18400002,18.22999954,312000,0,0.007882261,0.22900009,0.18300057,0.090909091
11/25/1996,8.464046478,18.98699951,18.98699951,18.50499916,18.50499916,1040000,0,0.031173595,0.48200035,0.48200035,2.333333333
11/26/1996,8.600456238,19.29299927,19.5720005,19.07500076,19.07500076,2015000,0,0.016116278,0.49699974,0.21799851,0.9375
11/27/1996,8.525120735,19.12400055,19.25200081,19.10499954,19.23200035,455000,0,-0.008759588,0.14700127,-0.1079998,-0.774193548
11/28/1996,8.767179489,19.66699982,19.7140007,19.15399933,19.15500069,923000,0,0.028393603,0.56000137,0.51199913,1.028571429
11/29/1996,8.778327942,19.69199944,19.72400093,19.56699944,19.72400093,624000,0,0.001271146,0.15700149,-0.03200149,-0.323943662
12/2/1996,8.91205883,19.99200058,20.05800056,19.6060009,19.68499947,702000,0,0.015234671,0.45199966,0.30700111,0.125
12/3/1996,9.43184185,21.15800095,21.15999985,20.23500061,20.23500061,1781000,0,0.058323346,0.92499924,0.92300034,1.537037037
12/4/1996,9.373888016,21.02799988,21.12999916,20.56999969,20.84499931,1118000,0,-0.006144298,0.55999947,0.18300057,-0.372262774
12/5/1996,9.204492569,20.64800072,21.41500092,20.63899994,20.96299934,1417000,0,-0.018071103,0.77600098,-0.31499862,0.26744186
12/6/1996,9.038214684,20.27499962,20.62899971,19.38999939,20.15699959,1495000,0,-0.018064756,1.23900032,0.11800003,0.055045872
12/9/1996,9.327526093,20.92399979,20.94799995,20.45199966,20.45199966,494000,0,0.032009873,0.49600029,0.47200013,-0.669565217
12/10/1996,9.388597488,21.06100082,21.22800064,21.04000092,21.06900024,442000,0,0.006547555,0.18799972,-0.00799942,-0.105263158
12/11/1996,9.119792938,20.45800018,20.92399979,20.39299965,20.82500076,611000,0,-0.028631148,0.53100014,-0.36700058,0.382352941
12/12/1996,9.046684265,20.29400063,20.64800072,20.24500084,20.64800072,403000,0,-0.008016402,0.40299988,-0.35400009,-0.340425532
12/13/1996,8.89779377,19.95999908,20.06399918,19.72400093,20.03899956,663000,0,-0.016458142,0.33999825,-0.07900048,0.64516129
12/16/1996,9.020384789,20.23500061,20.25300026,19.8029995,19.8029995,286000,0,0.013777632,0.45000076,0.43200111,-0.568627451
12/17/1996,8.932563782,20.03800011,20.05500031,19.94000053,20,481000,0,-0.009735631,0.11499978,0.03800011,0.681818182
12/18/1996,8.95039463,20.07799911,20.15699959,19.98999977,20.13699913,312000,0,0.001996157,0.16699982,-0.05900002,-0.351351351
12/19/1996,8.983828545,20.15299988,20.15699959,19.90099907,20.00799942,455000,0,0.00373547,0.25600052,0.14500046,0.458333333
12/20/1996,9.161694527,20.55200005,20.80599976,20.25499916,20.25499916,845000,0,0.01979855,0.5510006,0.29700089,0.857142857
12/23/1996,9.238817215,20.72500038,20.74699974,20.64800072,20.64800072,104000,0,0.008417688,0.09899902,0.07699966,-0.876923077
12/24/1996,9.238817215,20.72500038,20.72500038,20.72500038,20.72500038,0,0,0,0,0,-1
12/25/1996,9.238817215,20.72500038,20.72500038,20.72500038,20.72500038,0,0,0,0,0,0
12/26/1996,9.238817215,20.72500038,20.72500038,20.72500038,20.72500038,0,0,0,0,0,0
12/27/1996,9.250405312,20.75099945,20.88400078,20.69199944,20.84499931,195000,0,0.001254479,0.19200134,-0.09399986,inf
12/30/1996,9.380127907,21.04199982,21.11599922,20.92399979,20.92399979,182000,0,0.014023439,0.19199943,0.11800003,-0.066666667
12/31/1996,9.380127907,21.04199982,21.04199982,21.04199982,21.04199982,0,0,0,0,0,-1
1/1/1997,9.380127907,21.04199982,21.04199982,21.04199982,21.04199982,0,0,0,0,0,0
1/2/1997,9.22232151,20.68799973,20.92300034,20.53000069,20.66799927,429000,0,-0.0168235,0.39299965,0.02000046,inf
1/3/1997,9.25709343,20.76600075,20.84499931,20.60899925,20.84499931,572000,0,0.003770351,0.23600006,-0.07899856,0.333333333
1/6/1997,9.232128143,20.70999908,21.04199982,20.41200066,20.94300079,598000,0,-0.002696796,0.62999916,-0.23300171,0.045454545
1/7/1997,9.169717789,20.56999969,20.62100029,20.49099922,20.55999947,624000,0,-0.00675999,0.13000107,0.01000022,0.043478261
1/8/1997,9.301224709,20.86499977,20.94300079,20.54999924,20.64800072,1170000,0,0.014341278,0.39300155,0.21699905,0.875
1/9/1997,9.344912529,20.96299934,20.96299934,20.66799927,20.80599976,884000,0,0.00469684,0.29500007,0.15699958,-0.244444444
